name,long,lat,population
Петербург,30.316667,59.950000,2218
Москва,37.617778,55.755833,1762
Варшава,21.011780,52.229770,884
Рига,24.106944,56.947500,558
Киев,30.516667,50.450000,520
Одесса,30.727778,46.486111,499
Лодзь,19.466670,51.750000,477
